pmac,pid
BE:28:A9:00:02:DB,P470
BE:28:A9:00:06:20,P106
BE:28:A9:00:08:D1,P451
BE:28:A9:00:05:5D,P234
BE:28:A9:00:08:70,P482
BE:28:A9:00:08:93,P269
BE:28:A9:00:03:CA,P267
BE:28:A9:00:03:A6,P542
BE:28:A9:00:05:85,P185
BE:28:A9:00:05:94,P569
BE:28:A9:00:06:39,P391
BE:28:A9:00:06:24,P245
BE:28:A9:00:03:47,P393
BE:28:A9:00:03:DF,P178
BE:28:A9:00:03:88,P144
BE:28:A9:00:03:34,P520
BE:28:A9:00:03:B0,P200
BE:28:A9:00:03:A3,P281
BE:28:A9:00:02:C1,P590
BE:28:A9:00:03:D0,P292
BE:28:A9:00:02:E0,P563
BE:28:A9:00:08:8E,P11
BE:28:A9:00:02:9E,P581
BE:28:A9:00:08:79,P453
BE:28:25:00:04:04,P431
BE:28:A9:00:05:5C,P280
BE:28:A9:00:07:90,P163
BE:28:A9:00:03:4B,P264
BE:28:A9:00:07:5D,P555
BE:28:A9:00:05:80,P286
BE:28:A9:00:05:8F,P602
BE:28:A9:00:03:37,P357
BE:28:A9:00:03:36,P316
BE:28:A9:00:03:C8,P446
BE:28:A9:00:07:92,P207
BE:28:A9:00:06:1E,P435
BE:28:A9:00:08:7E,P187
BE:28:A9:00:03:CD,P181
BE:28:A9:00:08:78,P126
BE:28:25:00:06:3B,P135
BE:28:A9:00:07:6D,P595
BE:28:A9:00:03:3A,P436
BE:28:A9:00:08:FC,P60
BE:28:A9:00:07:52,P596
BE:28:A9:00:07:7A,P45
BE:28:A9:00:07:87,P184
BE:28:A9:00:08:8B,P301
BE:28:A9:00:02:B2,P296
BE:28:A9:00:03:BB,P134
BE:28:A9:00:08:95,P216
BE:28:A9:00:07:80,P477
BE:28:A9:00:02:B6,P485
BE:28:A9:00:07:40,P376
BE:28:A9:00:08:85,P223
BE:28:A9:00:07:8D,P282
BE:28:A9:00:08:81,P129
BE:28:A9:00:03:C9,P321
BE:28:A9:00:03:EB,P497
BE:28:A9:00:07:D3,P183
BE:28:A9:00:05:7F,P209
BE:28:A9:00:08:71,P99
BE:28:A9:00:02:E4,P136
BE:28:A9:00:08:DD,P588
BE:28:A9:00:05:72,P18
BE:28:A9:00:03:AA,P72
BE:28:A9:00:07:6A,P472
BE:28:25:00:04:01,P285
BE:28:A9:00:02:BD,P204
BE:28:A9:00:06:25,P467
BE:28:A9:00:03:C4,P55
BE:28:A9:00:07:88,P354
BE:28:A9:00:09:87,P227
BE:28:A9:00:02:A3,P349
BE:28:A9:00:07:53,P553
BE:28:A9:00:08:87,P315
BE:28:A9:00:02:F1,P320
BE:28:A9:00:00:AE,P585
BE:28:A9:00:02:C9,P337
BE:28:A9:00:02:D5,P476
BE:28:A9:00:03:4D,P71
BE:28:A9:00:05:66,P546
BE:28:25:00:06:3E,P505
BE:28:A9:00:07:A7,P288
BE:28:A9:00:08:E3,P300
BE:28:25:00:06:31,P252
BE:28:A9:00:07:B7,P130
BE:28:A9:00:03:26,P452
BE:28:A9:00:05:50,P86
BE:28:A9:00:03:2C,P123
BE:28:A9:00:06:29,P160
BE:28:A9:00:07:CC,P33
BE:28:A9:00:03:9B,P530
BE:28:A9:00:07:7C,P257
BE:28:A9:00:05:6E,P394
BE:28:A9:00:07:41,P191
BE:28:A9:00:03:B6,P140
BE:28:25:00:04:07,P406
BE:28:25:00:04:DE,P605
BE:28:A9:00:05:96,P109
BE:28:A9:00:05:83,P256
BE:28:A9:00:05:81,P17
BE:28:A9:00:06:41,P287
BE:28:A9:00:03:2A,P420
BE:28:A9:00:02:91,P459
BE:28:A9:00:00:A0,P550
BE:28:A9:00:02:D9,P450
BE:28:25:00:04:FD,P352
BE:28:A9:00:07:61,P565
BE:28:A9:00:09:66,P413
BE:28:A9:00:03:B7,P479
BE:28:A9:00:03:45,P122
BE:28:A9:00:03:B8,P3
BE:28:A9:00:05:61,P38
BE:28:A9:00:07:A6,P232
BE:28:A9:00:03:D3,P147
BE:28:A9:00:00:B5,P475
BE:28:A9:00:02:EF,P360
BE:28:A9:00:05:29,P410
BE:28:25:00:06:2C,P202
BE:28:A9:00:08:FD,P96
BE:28:A9:00:07:82,P170
BE:28:A9:00:07:5C,P579
BE:28:A9:00:07:AE,P173
BE:28:A9:00:07:6B,P48
BE:28:A9:00:08:D0,P324
BE:28:A9:00:03:52,P254
BE:28:25:00:04:F9,P492
BE:28:A9:00:09:80,P192
BE:28:A9:00:08:F0,P344
BE:28:A9:00:03:50,P313
BE:28:A9:00:06:1A,P115
BE:28:A9:00:05:4A,P266
BE:28:A9:00:02:B7,P401
BE:28:25:00:05:E2,P336
BE:28:A9:00:00:B1,P289
BE:28:25:00:04:DF,P331
BE:28:A9:00:08:67,P58
BE:28:A9:00:08:E4,P599
BE:28:A9:00:00:B6,P260
BE:28:A9:00:06:21,P356
BE:28:A9:00:05:65,P511
BE:28:A9:00:02:BB,P483
BE:28:A9:00:08:EF,P486
BE:28:A9:00:05:59,P561
BE:28:A9:00:00:C1,P575
BE:28:A9:00:08:7A,P372
BE:28:A9:00:03:D4,P490
BE:28:A9:00:09:73,P448
BE:28:A9:00:03:C1,P279
BE:28:A9:00:02:E5,P304
BE:28:A9:00:06:32,P214
BE:28:A9:00:08:D2,P484
BE:28:A9:00:07:BD,P20
BE:28:A9:00:07:66,P328
BE:28:A9:00:06:18,P113
BE:28:A9:00:05:4C,P278
BE:28:A9:00:05:82,P21
BE:28:25:00:04:E8,P366
BE:28:A9:00:05:78,P107
BE:28:25:00:06:38,P274
BE:28:A9:00:07:9A,P98
BE:28:A9:00:02:E6,P164
BE:28:25:00:06:43,P363
BE:28:A9:00:07:48,P12
BE:28:A9:00:00:BF,P229
BE:28:A9:00:09:6B,P545
BE:28:A9:00:08:FE,P40
BE:28:A9:00:07:BF,P311
BE:28:A9:00:08:F5,P441
BE:28:A9:00:03:9C,P358
BE:28:25:00:06:42,P583
BE:28:A9:00:07:B4,P365
BE:28:A9:00:05:9B,P414
BE:28:A9:00:02:C3,P236
BE:28:25:00:06:39,P434
BE:28:A9:00:05:9A,P392
BE:28:A9:00:07:96,P169
BE:28:A9:00:06:31,P463
BE:28:A9:00:06:1B,P103
BE:28:A9:00:05:AD,P54
BE:28:A9:00:07:7D,P53
BE:28:A9:00:03:8E,P468
BE:28:A9:00:05:52,P138
BE:28:A9:00:05:A7,P594
BE:28:A9:00:07:76,P504
BE:28:A9:00:03:D5,P471
BE:28:A9:00:02:98,P412
BE:28:A9:00:06:3A,P348
BE:28:A9:00:07:55,P166
BE:28:25:00:04:E1,P332
BE:28:A9:00:06:37,P564
BE:28:A9:00:00:BB,P489
BE:28:A9:00:07:91,P259
BE:28:A9:00:05:7A,P89
BE:28:A9:00:08:F2,P423
BE:28:A9:00:02:C7,P210
BE:28:25:00:04:06,P503
BE:28:A9:00:07:B3,P528
BE:28:A9:00:08:74,P415
BE:28:A9:00:08:DA,P145
BE:28:A9:00:00:A5,P390
BE:28:A9:00:08:75,P277
BE:28:A9:00:02:DF,P600
BE:28:A9:00:07:83,P7
BE:28:A9:00:05:8E,P409
BE:28:A9:00:07:5F,P5
BE:28:A9:00:05:6B,P283
BE:28:A9:00:03:A1,P378
BE:28:A9:00:09:8A,P576
BE:28:A9:00:00:A2,P201
BE:28:A9:00:02:8E,P114
BE:28:A9:00:00:9B,P422
BE:28:A9:00:02:CB,P571
BE:28:A9:00:05:A2,P364
BE:28:A9:00:02:A0,P351
BE:28:A9:00:05:7C,P508
BE:28:A9:00:02:C5,P194
BE:28:A9:00:05:92,P403
BE:28:A9:00:03:B4,P82
BE:28:A9:00:02:D8,P161
BE:28:A9:00:03:A7,P61
BE:28:A9:00:00:C9,P159
BE:28:A9:00:05:A8,P408
BE:28:A9:00:06:40,P397
BE:28:A9:00:07:8C,P120
BE:28:A9:00:03:41,P42
BE:28:A9:00:07:9D,P502
